S&P 500 High Tracker Snapshot
Data Date: 2026-08-26
Generated: 2026-08-27 00:11:58 UTC
Total stocks: 504
================================================================================

| Ticker   | Name                            |   Price |   Market Cap (B) |   % 1D |   % 1W |    % 1Y |   52W High |   % From 52W High |   All-Time High |   % From ATH | At 52W High   | At ATH   |          Vol |   Vol % 1D |   Vol % 1W |   Vol % 1Y |
|----------|---------------------------------|---------|------------------|--------|--------|---------|------------|-------------------|-----------------|--------------|---------------|----------|--------------|------------|------------|------------|
| NWS      | News Corporation                |   35.24 |            18.93 |   0.26 |   5.10 |    3.47 |      35.35 |             -0.31 |           35.35 |        -0.31 | True          | True     |    659994.00 |     -28.20 |     -26.85 |      35.19 |
| DGX      | Quest Diagnostics Incorporated  |  245.00 |            27.04 |   0.20 |   1.34 |   38.22 |     246.00 |             -0.41 |          246.00 |        -0.41 | True          | True     |    811002.00 |      14.35 |     -12.23 |     -22.35 |
| V        | Visa Inc.                       |  383.90 |           716.76 |  -0.06 |   5.02 |   10.19 |     385.57 |             -0.43 |          385.57 |        -0.43 | True          | True     |   6071882.00 |     -10.41 |       3.50 |       3.33 |
| MA       | Mastercard Incorporated         |  598.47 |           524.27 |  -0.15 |   4.31 |    1.79 |     601.23 |             -0.46 |          601.23 |        -0.46 | True          | True     |   3106001.00 |      -7.86 |       1.73 |     -34.95 |
| STT      | State Street Corporation        |  193.62 |            53.19 |   0.35 |   4.20 |   71.48 |     195.18 |             -0.80 |          195.18 |        -0.80 | True          | True     |   1052926.00 |     -10.88 |     -36.72 |     -54.55 |
| EXPD     | Expeditors International of Was |  190.18 |            24.72 |   0.60 |   2.01 |   58.03 |     191.79 |             -0.84 |          191.79 |        -0.84 | True          | True     |    667140.00 |      14.57 |       6.66 |     -71.89 |
| IVZ      | Invesco Ltd                     |   32.98 |            14.56 |   0.79 |   2.39 |   55.17 |      33.31 |             -0.98 |           33.31 |        -0.98 | True          | True     |   3620563.00 |      24.11 |      10.81 |     -14.16 |
| VZ       | Verizon Communications Inc.     |   50.19 |           208.53 |  -0.12 |   1.68 |   21.97 |      50.78 |             -1.16 |           50.78 |        -1.16 | True          | True     |  20697480.00 |      -3.00 |      16.30 |      19.44 |
| LH       | Labcorp Holdings Inc.           |  335.72 |            27.23 |  -0.58 |   1.60 |   21.84 |     339.76 |             -1.19 |          339.76 |        -1.19 | True          | True     |    701174.00 |       0.54 |      35.31 |      56.13 |
| NSC      | Norfolk Southern Corporation    |  352.68 |            79.21 |   0.41 |   2.02 |   29.72 |     357.19 |             -1.26 |          357.19 |        -1.26 | True          | True     |    602500.00 |     -16.75 |     -66.68 |     -73.52 |
| NDSN     | Nordson Corporation             |  334.58 |            18.64 |   0.30 |   7.96 |   49.76 |     339.12 |             -1.34 |          339.12 |        -1.34 | True          | True     |    353075.00 |       2.49 |     -42.78 |     -41.86 |
| VLO      | Valero Energy Corporation       |  348.03 |           100.21 |   2.24 |   0.51 |  141.86 |     353.00 |             -1.41 |          353.00 |        -1.41 | True          | True     |   2155397.00 |      24.19 |      -6.33 |     -16.84 |
| MPC      | Marathon Petroleum Corporation  |  362.27 |           105.76 |   2.08 |   0.42 |  112.28 |     367.60 |             -1.45 |          367.60 |        -1.45 | True          | True     |   2089238.00 |      -5.26 |     -12.89 |     -33.76 |
| AMGN     | Amgen Inc.                      |  440.34 |           238.06 |  -0.43 |   0.13 |   56.28 |     447.03 |             -1.50 |          447.03 |        -1.50 | True          | True     |   2268864.00 |       7.99 |     -10.82 |      29.62 |
| VRTX     | Vertex Pharmaceuticals Incorpor |  547.29 |           138.63 |  -1.01 |  -0.86 |   41.35 |     555.69 |             -1.51 |          555.69 |        -1.51 | True          | True     |    833051.00 |       7.49 |     -42.04 |     -56.32 |
| FCX      | Freeport-McMoRan, Inc.          |   79.00 |           113.45 |  -1.14 |  14.34 |   80.04 |      80.24 |             -1.55 |           80.24 |        -1.55 | True          | True     |  18256242.00 |      15.54 |       9.34 |      54.39 |
| NDAQ     | Nasdaq, Inc.                    |   99.47 |            55.60 |   0.75 |   3.24 |    6.14 |     101.11 |             -1.62 |          101.11 |        -1.62 | True          | True     |   1543134.00 |     -22.28 |     -48.84 |     -48.90 |
| NWSA     | News Corporation                |   30.96 |            16.64 |   0.13 |   5.13 |    4.93 |      31.48 |             -1.65 |           31.48 |        -1.65 | True          | True     |   2695848.00 |      22.74 |     -13.82 |     -10.80 |
| UNP      | Union Pacific Corporation       |  310.62 |           184.53 |   0.33 |   2.92 |   42.62 |     315.99 |             -1.70 |          315.99 |        -1.70 | True          | True     |   2443348.00 |      11.12 |     -24.21 |     -34.98 |
| ABBV     | AbbVie Inc.                     |  262.90 |           464.58 |  -1.09 |  -1.15 |   30.09 |     267.47 |             -1.71 |          267.47 |        -1.71 | True          | True     |   3303234.00 |     -10.02 |     -40.33 |     -10.79 |
| IBKR     | Interactive Brokers Group, Inc. |   97.02 |           165.30 |  -1.19 |   7.16 |   53.98 |      98.75 |             -1.75 |           98.75 |        -1.75 | True          | True     |   3028159.00 |     -41.96 |      -6.08 |     -75.43 |
| JNJ      | Johnson & Johnson               |  270.00 |           650.67 |  -1.15 |  -0.76 |   56.43 |     275.11 |             -1.86 |          275.11 |        -1.86 | True          | True     |   7193946.00 |      53.49 |      -6.92 |     -21.33 |
| WAB      | Westinghouse Air Brake Technolo |  300.54 |            50.76 |   1.21 |   2.84 |   54.57 |     306.32 |             -1.89 |          306.32 |        -1.89 | True          | True     |    678903.00 |      11.50 |     -28.07 |     -42.87 |
| PSX      | Phillips 66                     |  242.23 |            96.65 |   2.25 |  -0.02 |   92.01 |     246.95 |             -1.91 |          246.95 |        -1.91 | True          | True     |   2223039.00 |       2.16 |     -25.85 |     -19.96 |
| TECH     | Bio-Techne Corp                 |   72.38 |            11.35 |   0.07 |  -0.03 |   28.17 |      72.54 |             -0.22 |          132.89 |       -45.54 | True          | False    |   1386237.00 |     -26.97 |     -44.86 |     -25.89 |
| IQV      | IQVIA Holdings, Inc.            |  261.51 |            43.04 |   0.81 |   4.91 |   39.28 |     262.50 |             -0.38 |          285.61 |        -8.44 | True          | False    |   1272026.00 |      41.12 |       5.17 |     -15.53 |
| RVTY     | Revvity, Inc.                   |  126.35 |            14.10 |   1.21 |   5.78 |   38.88 |     126.90 |             -0.43 |          200.82 |       -37.08 | True          | False    |   1155787.00 |      11.61 |     -32.72 |     -45.37 |
| PAYC     | Paycom Software, Inc.           |  232.31 |            10.47 |   0.26 |   4.74 |    3.78 |     233.46 |             -0.49 |          544.00 |       -57.30 | True          | False    |    548948.00 |      13.82 |      -8.22 |     -19.18 |
| BIIB     | Biogen Inc.                     |  221.07 |            32.66 |   0.14 |  -0.22 |   61.70 |     222.85 |             -0.80 |          480.18 |       -53.96 | True          | False    |    646900.00 |      30.58 |     -27.05 |     -59.05 |
| PFE      | Pfizer, Inc.                    |   28.30 |           161.30 |  -0.95 |   0.21 |   21.53 |      28.58 |             -0.98 |           47.78 |       -40.77 | True          | False    |  35017573.00 |       9.72 |     -41.45 |     -20.30 |
| MTCH     | Match Group, Inc.               |   42.07 |             9.66 |  -0.26 |   5.97 |   15.40 |      42.49 |             -0.99 |          174.75 |       -75.92 | True          | False    |   2844009.00 |     -18.84 |     -31.92 |       0.48 |
| SBUX     | Starbucks Corporation           |  108.49 |           123.68 |   2.58 |   3.34 |   28.43 |     109.88 |             -1.26 |          112.99 |        -3.98 | True          | False    |   6044130.00 |       4.48 |     -11.32 |     -35.12 |
| SOLV     | Solventum Corporation           |   91.53 |            15.58 |  -0.09 |   4.24 |   25.52 |      92.71 |             -1.27 |           96.05 |        -4.71 | True          | False    |   1014660.00 |      -3.18 |      10.54 |      -5.38 |
| MSI      | Motorola Solutions, Inc.        |  487.28 |            80.64 |   0.39 |   1.34 |    8.16 |     493.57 |             -1.27 |          498.35 |        -2.22 | True          | False    |    805551.00 |     -25.64 |     -44.94 |     -62.50 |
| BDX      | Becton, Dickinson and Company   |  190.21 |            51.81 |   0.23 |   1.39 |   27.73 |     193.07 |             -1.48 |          212.91 |       -10.66 | True          | False    |   1403067.00 |      16.20 |     -35.18 |     -50.87 |
| BMY      | Bristol-Myers Squibb Company    |   67.57 |           138.03 |  -0.52 |  -0.06 |   50.00 |      68.64 |             -1.56 |           68.98 |        -2.04 | True          | False    |   7505226.00 |      -5.14 |     -45.96 |     -38.47 |
| WAT      | Waters Corporation              |  414.17 |            40.67 |  -0.07 |  -0.40 |   39.86 |     421.74 |             -1.79 |          428.22 |        -3.28 | True          | False    |    426638.00 |     -32.47 |     -60.92 |      -8.45 |
| CRL      | Charles River Laboratories Inte |  295.10 |            14.09 |  -0.85 |   1.76 |   80.26 |     300.59 |             -1.83 |          460.21 |       -35.88 | True          | False    |   1231078.00 |      39.34 |      24.68 |     124.44 |
| OMC      | Omnicom Group Inc.              |   87.89 |            25.05 |  -0.35 |   0.53 |   17.34 |      89.57 |             -1.88 |          100.22 |       -12.31 | True          | False    |   1875002.00 |      -3.45 |      -8.65 |     -63.37 |
| HSIC     | Henry Schein, Inc.              |   90.38 |            10.30 |   0.81 |   1.22 |   30.87 |      92.18 |             -1.95 |           92.68 |        -2.48 | True          | False    |    696802.00 |     -14.97 |     -40.81 |     -59.01 |
| TMO      | Thermo Fisher Scientific Inc    |  633.71 |           234.31 |   0.89 |   3.29 |   30.20 |     647.00 |             -2.05 |          663.58 |        -4.50 | False         | False    |   1842590.00 |      20.01 |     -26.51 |      37.34 |
| AMP      | Ameriprise Financial, Inc.      |  560.28 |            49.53 |   0.00 |   0.09 |    9.83 |     572.56 |             -2.14 |          572.56 |        -2.14 | False         | False    |    306613.00 |       9.11 |     -20.32 |     -34.29 |
| MMM      | 3M Company                      |  180.00 |            92.83 |   0.35 |   0.07 |   17.09 |     184.09 |             -2.22 |          184.09 |        -2.22 | False         | False    |   2620270.00 |      13.09 |      -5.25 |     -11.50 |
| BLK      | BlackRock, Inc.                 | 1173.21 |           190.62 |  -0.29 |   1.23 |    5.09 |    1200.54 |             -2.28 |         1200.54 |        -2.28 | False         | False    |    644834.00 |      32.00 |      10.30 |      11.14 |
| FDX      | FedEx Corporation               |  335.99 |            79.52 |   0.68 |   2.32 |   83.94 |     344.08 |             -2.35 |          344.08 |        -2.35 | False         | False    |   1168979.00 |       6.57 |      -9.77 |     -45.98 |
| CHD      | Church & Dwight Company, Inc.   |  102.86 |            24.40 |   0.29 |   3.89 |   12.79 |     105.37 |             -2.39 |          114.24 |        -9.96 | False         | False    |   1871255.00 |      55.96 |      23.87 |     -24.05 |
| WTW      | Willis Towers Watson Public Lim |  343.12 |            31.87 |  -1.07 |   2.28 |    4.02 |     351.51 |             -2.39 |          351.51 |        -2.39 | False         | False    |    430575.00 |     -19.70 |      -8.11 |     -18.65 |
| EXPE     | Expedia Group, Inc.             |  333.44 |            40.02 |  -1.34 |   2.20 |   57.31 |     341.69 |             -2.41 |          341.69 |        -2.41 | False         | False    |   1184103.00 |      21.35 |      -2.37 |     -28.30 |
| MRK      | Merck & Company, Inc.           |  153.10 |           377.72 |  -2.14 |   0.59 |   86.16 |     156.92 |             -2.43 |          156.92 |        -2.43 | False         | False    |   8622014.00 |     -38.44 |     -73.69 |     -38.69 |
| IFF      | International Flavors & Fragran |   87.12 |            22.24 |  -0.05 |   4.55 |   33.73 |      89.32 |             -2.46 |          137.35 |       -36.57 | False         | False    |   1354628.00 |     -13.49 |      12.70 |     -39.73 |
| KO       | Coca-Cola Company (The)         |   90.08 |           387.57 |  -1.70 |  -0.30 |   34.78 |      92.49 |             -2.61 |           92.49 |        -2.61 | False         | False    |  17024430.00 |      42.58 |       6.44 |      -5.23 |
| APD      | Air Products and Chemicals, Inc |  306.66 |            68.29 |   0.92 |   1.13 |    7.10 |     314.87 |             -2.61 |          328.17 |        -6.56 | False         | False    |    741521.00 |     -10.97 |     -21.83 |      12.23 |
| NEM      | Newmont Corporation             |  131.60 |           138.67 |  -2.62 |   5.21 |   83.62 |     135.29 |             -2.73 |          135.29 |        -2.73 | False         | False    |   8931258.00 |      25.00 |      -1.55 |     -16.61 |
| JPM      | JP Morgan Chase & Co.           |  356.50 |           947.64 |  -0.05 |  -0.21 |   21.69 |     366.50 |             -2.73 |          366.50 |        -2.73 | False         | False    |   5793081.00 |      34.79 |     -13.49 |     -13.73 |
| ABNB     | Airbnb, Inc.                    |  188.07 |           112.61 |  -1.28 |   0.90 |   48.21 |     193.45 |             -2.78 |          219.94 |       -14.49 | False         | False    |   3367496.00 |     -25.24 |     -30.82 |     -22.68 |
| GEN      | Gen Digital Inc.                |   29.64 |            17.74 |   1.13 |   7.63 |   -1.75 |      30.52 |             -2.89 |           31.46 |        -5.80 | False         | False    |   6941637.00 |      12.01 |      62.48 |      20.99 |
| SJM      | The J.M. Smucker Company        |  130.90 |            13.99 |   4.34 |   6.56 |   23.25 |     134.85 |             -2.93 |          142.17 |        -7.93 | False         | False    |   2859656.00 |      44.92 |     143.81 |     -35.79 |
| AWK      | American Water Works Company, I |  137.49 |            27.32 |  -0.08 |  -0.88 |   -1.88 |     141.77 |             -3.02 |          170.87 |       -19.53 | False         | False    |   1361768.00 |     -29.79 |     -55.05 |     -22.83 |
| GPN      | Global Payments Inc.            |   92.96 |            24.60 |  -0.92 |   1.33 |    6.74 |      95.88 |             -3.05 |          210.11 |       -55.76 | False         | False    |   3037564.00 |      -1.67 |      23.45 |      46.15 |
| OKE      | ONEOK, Inc.                     |   94.90 |            59.79 |   3.49 |  -1.16 |   34.44 |      97.90 |             -3.06 |          108.05 |       -12.17 | False         | False    |   3349143.00 |      12.28 |       3.77 |     -53.83 |
| INVH     | Invitation Homes Inc.           |   29.89 |            17.76 |  -1.06 |  -1.03 |    1.74 |      30.89 |             -3.25 |           39.14 |       -23.64 | False         | False    |   2443435.00 |     -22.04 |      -3.35 |     -29.91 |
| RJF      | Raymond James Financial, Inc.   |  176.69 |            33.99 |   1.13 |  -0.70 |    6.63 |     182.73 |             -3.31 |          182.73 |        -3.31 | False         | False    |   1498669.00 |      74.77 |      31.97 |      55.21 |
| FAST     | Fastenal Company                |   51.15 |            58.69 |   1.67 |  -0.56 |    4.61 |      52.92 |             -3.34 |           52.92 |        -3.34 | False         | False    |   3678142.00 |     -16.94 |     -41.11 |     -50.84 |
| INCY     | Incyte Corporation              |  128.12 |            25.97 |  -1.23 |  -0.27 |   52.52 |     132.60 |             -3.38 |          153.15 |       -16.34 | False         | False    |    800046.00 |     -31.16 |     -49.65 |     -65.59 |
| A        | Agilent Technologies, Inc.      |  155.08 |            43.80 |   0.20 |  -0.21 |   32.14 |     160.51 |             -3.38 |          173.31 |       -10.52 | False         | False    |   3191619.00 |      31.60 |       6.17 |      68.14 |
| CSX      | CSX Corporation                 |   51.76 |            95.88 |   0.49 |   2.13 |   61.96 |      53.60 |             -3.43 |           53.60 |        -3.43 | False         | False    |   6838586.00 |       6.53 |     -26.66 |     -80.27 |
| EQIX     | Equinix, Inc.                   | 1079.61 |           106.53 |   0.57 |   0.23 |   41.05 |    1118.65 |             -3.49 |         1118.65 |        -3.49 | False         | False    |    507657.00 |      16.89 |      -0.34 |       3.94 |
| LYV      | Live Nation Entertainment, Inc. |  182.64 |            42.55 |  -2.21 |  -0.84 |    9.61 |     189.25 |             -3.49 |          189.25 |        -3.49 | False         | False    |   1633879.00 |      13.28 |       1.38 |      12.21 |
| BEN      | Franklin Templeton, Inc.        |   35.01 |            17.79 |  -0.06 |   3.03 |   45.81 |      36.28 |             -3.50 |           36.28 |        -3.50 | False         | False    |   1851366.00 |     -21.00 |     -40.49 |     -53.90 |
| IEX      | IDEX Corporation                |  234.89 |            17.32 |   2.01 |   0.19 |   43.60 |     243.80 |             -3.65 |          243.80 |        -3.65 | False         | False    |    498159.00 |       7.22 |     -25.80 |     -34.03 |
| PFG      | Principal Financial Group Inc   |  112.21 |            24.02 |   0.56 |   0.51 |   44.42 |     116.61 |             -3.77 |          116.61 |        -3.77 | False         | False    |    803129.00 |      53.89 |       1.92 |     -17.59 |
| REGN     | Regeneron Pharmaceuticals, Inc. |  814.79 |            83.89 |  -2.25 |  -3.10 |   39.36 |     847.00 |             -3.80 |         1199.88 |       -32.09 | False         | False    |    583476.00 |      15.45 |     -22.24 |     -63.86 |
| SW       | Smurfit WestRock plc            |   49.56 |            26.00 |   0.26 |   1.75 |   10.22 |      51.52 |             -3.80 |           53.86 |        -7.99 | False         | False    |   3383765.00 |       6.39 |     -37.42 |     -31.69 |
| COP      | ConocoPhillips                  |  130.61 |           156.91 |  -0.93 |   0.02 |   38.82 |     135.88 |             -3.88 |          135.88 |        -3.88 | False         | False    |   5819009.00 |      -3.73 |     -25.83 |     -17.49 |
| DXCM     | DexCom, Inc.                    |   88.96 |            33.57 |  -0.22 |  -1.02 |   16.87 |      92.59 |             -3.92 |          164.86 |       -46.04 | False         | False    |   3820094.00 |      -6.96 |     -55.93 |     -21.09 |
| TGT      | Target Corporation              |  164.04 |            74.52 |   0.35 |   3.17 |   77.59 |     170.75 |             -3.93 |          230.18 |       -28.73 | False         | False    |   4477201.00 |     -41.07 |     -52.71 |     -30.03 |
| NTRS     | Northern Trust Corporation      |  187.66 |            34.33 |   0.45 |   1.22 |   45.54 |     195.78 |             -4.15 |          195.78 |        -4.15 | False         | False    |    749668.00 |     -26.98 |     -22.86 |     -40.99 |
